target,filter,cluster,_RAJ2000,_DEJ2000,S/N,Teff,logg,gamma,Ks,RV,e_RV,logL
10441485-5947530,665,Trumpler14,161.06187,-59.7981,68.77,19111,4.885,-999,11.046,9.23,2,1.57
10441487-5945509,665,Trumpler14,161.06196,-59.7641,39.53,6514,4.255,0.996,13.277,-24.14,1.95,1.37
10441488-5935254,665,Trumpler14,161.062,-59.5904,26.21,4984,3.905,0.982,13.877,-14.05,0.62,0.55
10441493-5942402,665,Trumpler14,161.06221,-59.7112,60.23,5396,4.132,0.988,13.238,-8.07,0.37,1.44
10441499-5930505,665,Trumpler14,161.06246,-59.514,16.42,5087,3.395,0.994,14.356,-12.12,0.98,0.45
10441501-5939484,665,Trumpler14,161.06254,-59.6634,43.99,4134,1.735,1.041,10.907,45.78,0.26,1.42
10441513-5938094,665,Trumpler14,161.06304,-59.6359,15.17,5227,2.982,1.002,14.164,0.62,2.37,0.17
10441536-5936043,665,Trumpler14,161.064,-59.6012,175.65,14900,4.237,0.999,11.828,-1.74,1.12,2.31
10441550-5945112,665,Trumpler14,161.06483,-59.7531,199.27,6328,4.147,0.999,13.102,17.17,0.25,0.22
10441554-5948428,665,Trumpler14,161.06475,-59.8119,0.28,-999,-999,-999,14.216,699,159.73,-99
10441555-5946476,665,Trumpler14,161.06479,-59.7799,121.75,6028,2.897,1.018,9.428,11.38,0.25,2.7
10441557-5941390,665,Trumpler14,161.06488,-59.6942,50.74,7491,3,1.031,13.505,12.59,4.63,0.95
10441579-5940503,665,Trumpler14,161.06579,-59.6806,36.03,13888,5,1.006,13.546,9.34,6.01,0.77
10441606-5946096,665,Trumpler14,161.06692,-59.7693,47.44,7921,3.453,1.001,12.117,275,1.65,1.2
10441637-5933149,665,Trumpler14,161.06821,-59.5541,15.95,4633,4.056,1.021,13.218,1.2,1.63,0.69
10441648-5935100,665,Trumpler14,161.06867,-59.5861,86.38,5483,4.282,0.992,12.342,7.91,0.62,1.27
10441650-5935440,665,Trumpler14,161.06875,-59.5956,11.26,4314,4.23,0.964,11.681,-7.5,1.17,1.01
10441670-5937315,665,Trumpler14,161.06958,-59.6254,75.66,14750,4.963,0.999,13.173,-26.06,2.58,1.29
10441689-5942417,665,Trumpler14,161.07038,-59.7116,16.91,5791,2.949,1.029,14.242,99.84,337.81,0.5
10441695-5933316,665,Trumpler14,161.07063,-59.5588,11.36,9000,3.65,0.955,13.406,16.77,1.24,0.73
10441706-5942485,665,Trumpler14,161.07108,-59.7135,28.87,12691,4.787,1.002,13.678,445.78,14.96,0.76
10441711-5931019,665,Trumpler14,161.07129,-59.5172,35.35,4932,4.11,0.992,13.104,-10.22,1.32,0.86
10441712-5941568,665,Trumpler14,161.07133,-59.6991,39.9,4275,3.5,0.966,12.696,-10.24,0.39,0.86
10441718-5939512,665,Trumpler14,161.07158,-59.6642,68.07,11500,4.758,-999,12.588,14.15,2.77,1.61
10441749-5935347,665,Trumpler14,161.07288,-59.593,62.09,6186,3.016,1.009,13.474,15.83,0.92,1.16
10441757-5947261,665,Trumpler14,161.07321,-59.7906,106.22,6363,4.048,1,12.541,-2.32,0.37,2.02
10441761-5933210,665,Trumpler14,161.07338,-59.5558,14.69,8250,3.5,0.997,12.563,35.85,26.8,0.8
10441771-5942360,665,Trumpler14,161.07379,-59.71,19.25,4798,3.111,0.994,13.61,-6.28,0.56,0.61
10441779-5948562,665,Trumpler14,161.07413,-59.8156,81.04,5416,3.098,1.009,11.389,9.77,0.27,1.85
10441784-5942212,665,Trumpler14,161.07433,-59.7059,19.92,5157,3.5,-999,13.401,-22.87,7.55,0.68
10441794-5947149,665,Trumpler14,161.07475,-59.7875,45.43,4502,4.54,0.92,11.017,63.31,0.36,1.96
10441795-5943570,665,Trumpler14,161.07479,-59.7325,13.62,4732,3.699,0.979,13.569,-6.65,0.9,0.46
10441808-5940178,665,Trumpler14,161.07533,-59.6716,91.17,6675,4.053,1,11.976,-17.06,0.38,2.15
10441819-5938583,665,Trumpler14,161.07579,-59.6495,20.43,5760,3.289,1.008,13.605,13.68,1.87,0.61
10441827-5931067,665,Trumpler14,161.07612,-59.5185,17.8,7750,5,0.963,13.814,-1.33,0.55,0.51
10441857-5939057,665,Trumpler14,161.07737,-59.6516,49.68,6155,3.501,1.012,13.144,-27.39,1.76,1.43
10441859-5949119,665,Trumpler14,161.07746,-59.82,9.11,-999,-999,-999,14.186,285.24,6.04,-99
10441867-5948054,665,Trumpler14,161.07779,-59.8015,39.05,5017,4.132,0.983,13.778,14,0.33,1.09
10441873-5948504,665,Trumpler14,161.07804,-59.814,2.6,-999,-999,-999,14.792,552.74,31.11,-99
10441908-5932200,665,Trumpler14,161.0795,-59.5389,88.57,7409,3.802,-999,12.354,-12.49,1.67,1.75
10441921-5931510,665,Trumpler14,161.08004,-59.5308,16.31,4224,3.001,0.978,13.223,-9.57,0.51,0.63
10441925-5936250,665,Trumpler14,161.08021,-59.6069,76.3,5251,4.449,0.977,13.287,-2.97,0.3,1.35
10441951-5943519,665,Trumpler14,161.08129,-59.7311,13.56,4789,3.5,0.991,13.695,-14.14,0.78,0.56
10441969-5943079,665,Trumpler14,161.08204,-59.7189,108.96,15024,4.239,-999,12.161,40,0.37,2.2
10441989-5943155,665,Trumpler14,161.08288,-59.721,49.98,4165,4.36,0.92,13.258,35.29,0.3,1.1
10442014-5943396,665,Trumpler14,161.08392,-59.7277,16.77,5147,3.5,1.003,13.168,-2.09,1.01,0.65
10442016-5942297,665,Trumpler14,161.084,-59.7083,29.65,4770,3.519,0.987,12.856,-3.38,1.86,0.85
10442019-5938265,665,Trumpler14,161.08413,-59.6407,22.91,4977,-999,-999,14.131,-5.24,4.67,0.52
10442019-5941572,665,Trumpler14,161.08413,-59.6992,39.31,5517,4.184,0.99,13.883,1.42,0.41,0.92
10442048-5930470,665,Trumpler14,161.08538,-59.5131,113.48,-999,-999,1.001,12.425,-2.3,1.78,-99
10442067-5930172,665,Trumpler14,161.08613,-59.5048,59,4381,2.212,1.015,10.846,36.77,0.25,1.88
10442084-5947007,665,Trumpler14,161.08683,-59.7835,69.93,6077,4.13,-999,11.85,-110.94,0.3,1.3
10442098-5938259,665,Trumpler14,161.08742,-59.6405,20.23,5744,4.421,0.991,13.812,-41.63,60.37,0.53
10442105-5944199,665,Trumpler14,161.08771,-59.7389,27.25,5066,3.942,1.018,13.71,0.74,1.1,0.61
10442110-5949459,665,Trumpler14,161.08792,-59.8294,12.68,7888,2.5,1.048,13.785,220.31,114.1,0.51
10442139-5948149,665,Trumpler14,161.08913,-59.8041,31.2,6238,4.552,0.991,14.136,-16.28,0.61,0.98
10442164-5943430,665,Trumpler14,161.09017,-59.7286,10.96,9000,1.5,1.007,14.017,-8.27,2.77,0.5
10442197-5944199,665,Trumpler14,161.09154,-59.7389,163.66,6432,4.518,0.99,11.21,-27.41,0.26,2.28
10442200-5945024,665,Trumpler14,161.09167,-59.7507,24.95,9000,3.5,0.994,13.932,250,3.92,0.78
10442210-5941502,665,Trumpler14,161.09208,-59.6973,76.05,12500,4.576,-999,12.676,-10.97,2.96,1.6
10442248-5944532,665,Trumpler14,161.09367,-59.7481,65.48,4396,2.202,1.02,11.011,-24.4,0.42,1.53
10442278-5938525,665,Trumpler14,161.09492,-59.6479,14.46,3816,4.495,0.834,15.715,6.53,2.81,0.35
10442281-5938580,665,Trumpler14,161.09504,-59.6494,24.42,4049,4.563,0.883,14.258,16.23,1.42,0.64
10442286-5935547,665,Trumpler14,161.09525,-59.5985,110.21,7500,5,1.001,12.201,-8.99,1.75,1.78
10442293-5942322,665,Trumpler14,161.09554,-59.7089,5.45,-999,-999,-999,13.003,3.87,1.77,-99
10442299-5940370,665,Trumpler14,161.09579,-59.6769,34.28,6990,2.5,1.021,13.604,26.06,3.81,0.77
10442301-5942285,665,Trumpler14,161.09588,-59.7079,11.27,9000,1.5,-999,14.357,380.76,925.29,0.4
10442310-5944154,665,Trumpler14,161.09625,-59.7376,20.45,9462,3.5,1.004,12.467,145.54,45.42,1.87
10442312-5932115,665,Trumpler14,161.09633,-59.5365,2.59,-999,-999,-999,13.416,599.84,44.13,-99
10442331-5930015,665,Trumpler14,161.09713,-59.5004,19,4672,2.978,0.995,12.49,-9.03,0.65,0.91
10442331-5947213,665,Trumpler14,161.09713,-59.7893,34.79,6210,3.571,1.011,13.45,-1.43,0.76,0.88
10442340-5935562,665,Trumpler14,161.0975,-59.5989,18.74,4451,3.374,0.974,12.201,-4.87,1.81,1.78
10442356-5939414,665,Trumpler14,161.09817,-59.6615,66.38,5624,4.26,1.012,12.826,16.44,0.44,1.08
10442356-5940527,665,Trumpler14,161.09817,-59.6813,71.86,5556,2.912,1.041,12.378,-31.8,0.35,1.47
10442362-5941151,665,Trumpler14,161.09842,-59.6875,28.1,5041,3.736,0.991,12.629,-6.98,1.13,0.98
10442365-5931534,665,Trumpler14,161.09854,-59.5315,57.39,5417,3.42,-999,12.192,-20.12,0.39,1.31
10442370-5936169,665,Trumpler14,161.09875,-59.6047,23.89,5922,4.395,0.993,11.815,5.03,1.21,0.81
10442377-5941065,665,Trumpler14,161.09904,-59.6851,136.72,15074,4.303,-999,11.639,400,0.52,2.52
10442393-5942424,665,Trumpler14,161.09971,-59.7118,67,4969,2.521,1.028,9.777,-8.46,0.33,1.94
10442405-5940559,665,Trumpler14,161.10021,-59.6822,60.13,5248,3.58,1,12.928,-4.57,1.43,1.1
10442414-5933525,665,Trumpler14,161.10058,-59.5646,9.66,8750,4.994,-999,13.288,223.09,7.62,0.67
10442430-5947171,665,Trumpler14,161.10125,-59.7881,15.49,5630,5,0.9,14.249,59.76,0.75,0.58
10442445-5945535,665,Trumpler14,161.10188,-59.7649,64.3,9044,4.378,1.004,12.437,295,0.64,1.85
10442452-5945441,665,Trumpler14,161.10217,-59.7623,60.88,13395,3.72,0.996,12.58,-10.89,3.35,1.49
10442460-5947218,665,Trumpler14,161.1025,-59.7894,110.41,6067,3.74,1.002,11.734,33.24,0.27,1.84
10442463-5931330,665,Trumpler14,161.10262,-59.5258,22.7,4661,4.025,0.972,14.478,63.76,0.47,0.74
10442470-5930181,665,Trumpler14,161.10292,-59.505,17.01,8272,3.5,1.035,12.871,-53.64,0.77,1.36
10442470-5945551,665,Trumpler14,161.10292,-59.7653,34.79,5993,4.26,1,12.437,-8.09,1.06,1.85
10442483-5939596,665,Trumpler14,161.10346,-59.6666,29.56,4691,4.19,0.999,13.219,-6.9,0.4,0.72
10442489-5932129,665,Trumpler14,161.10371,-59.5369,66.16,6652,3.784,1.008,13.164,-5.12,0.73,1.49
10442489-5937026,665,Trumpler14,161.10371,-59.6174,39.7,4658,3.01,0.997,13.155,-3.67,0.97,0.8
10442497-5930158,665,Trumpler14,161.10404,-59.5044,63.71,5945,5,-999,12.871,-4.41,7.3,1.36
10442498-5936478,665,Trumpler14,161.10408,-59.6133,24.12,4657,4.43,1.001,13.79,-5.86,1.19,0.62
10442523-5936216,665,Trumpler14,161.10512,-59.606,91.28,4296,3.5,1.032,12.457,-54.57,0.35,1.28
10442527-5947500,665,Trumpler14,161.10529,-59.7972,31.69,6205,3.522,1.013,12.942,8.73,0.78,1.62
10442531-5949070,665,Trumpler14,161.10546,-59.8186,18.86,5959,5,0.997,14.057,72.39,1.16,0.65
10442540-5943549,665,Trumpler14,161.10583,-59.7319,12.48,4784,4.161,0.97,13.056,-7.88,4.86,0.75
10442556-5948476,665,Trumpler14,161.1065,-59.8132,14.64,4594,5.311,0.928,14.991,2.91,0.72,0.54
10442560-5943281,665,Trumpler14,161.10667,-59.7245,18.27,12750,5,0.974,13.381,42.39,17.59,0.65
10442565-5943535,665,Trumpler14,161.10688,-59.7315,23.56,4741,3.579,0.982,13.056,-8.16,0.48,0.75
10442570-5933400,665,Trumpler14,161.10708,-59.5611,57.75,6767,4.2,1.01,12.593,-37.27,1.11,0.9
10442582-5933541,665,Trumpler14,161.10758,-59.565,18.05,5152,2.777,1.021,13.947,-7.46,0.75,0.46
10442597-5946579,665,Trumpler14,161.10821,-59.7828,16.79,5015,5.348,0.957,14.382,14.61,0.86,0.5
10442626-5931094,665,Trumpler14,161.10942,-59.5193,9.14,-999,-999,-999,13.449,-4.84,1.13,-99
10442629-5942412,665,Trumpler14,161.10954,-59.7114,24.86,4825,3.37,1.007,13.15,-9.99,1.4,0.82
10442661-5932507,665,Trumpler14,161.11087,-59.5474,23.21,4421,3.5,1.005,13.21,-0.37,1.39,0.74
10442671-5949296,665,Trumpler14,161.11129,-59.8249,16.67,6331,5,0.984,12.843,43.86,1.62,1.64
10442686-5945412,665,Trumpler14,161.11192,-59.7614,34.41,7750,2.167,1.01,13.399,127.68,12.23,0.93
10442713-5945454,665,Trumpler14,161.11304,-59.7626,16.55,5865,5,0.996,13.694,-9.34,0.74,0.59
10442714-5938294,665,Trumpler14,161.11308,-59.6415,116.06,8002,3.901,-999,12.226,-3.68,1.61,2.16
10442729-5946317,665,Trumpler14,161.11371,-59.7755,32.9,8345,2.391,0.982,12.567,154.91,12.51,0.95
10442730-5944323,665,Trumpler14,161.11375,-59.7423,17.34,4684,3.5,1.003,12.176,-9.93,0.75,0.82
10442741-5938197,665,Trumpler14,161.11421,-59.6388,19.21,7168,-999,1.017,14.306,49.88,14.21,0.73
10442746-5933539,665,Trumpler14,161.11442,-59.565,25.75,4837,2.912,1.001,13.933,-17.02,1.23,0.56
10442750-5943143,665,Trumpler14,161.11458,-59.7206,13.44,35000,3.81,0.989,11.01,1.06,5.04,1.21
10442755-5944560,665,Trumpler14,161.11479,-59.7489,47.78,4962,2.57,1.015,10.687,22.37,0.28,1.51
10442769-5948310,665,Trumpler14,161.11538,-59.8086,96.5,5580,4.292,0.993,12.016,55.76,0.27,2
10442807-5948127,665,Trumpler14,161.11696,-59.8035,30.77,8551,-999,1.004,12.594,31.67,19.16,1.2
10442810-5933087,665,Trumpler14,161.11708,-59.5524,78.88,5793,3.73,-999,11.19,15,0.33,1.6
10442828-5935453,665,Trumpler14,161.11783,-59.5959,13.23,5562,4.593,0.985,14.094,-6.66,1.44,0.3
10442835-5941238,665,Trumpler14,161.11812,-59.6899,72.16,5325,4.26,-999,12.723,0.03,3.38,1.18
10442837-5933441,665,Trumpler14,161.11821,-59.5622,34.71,13000,3.967,1.011,10.053,346.47,45.03,1.73
10442847-5941451,665,Trumpler14,161.11863,-59.6959,50.32,5286,3.6,1.015,12.96,-9.77,0.37,0.95
10442853-5944281,665,Trumpler14,161.11888,-59.7411,18.45,14333,4.778,-999,14.16,234.46,4.27,0.56
10442859-5935024,665,Trumpler14,161.11913,-59.584,22.98,7950,3.963,1.01,14.43,136.3,8.95,0.5
10442868-5943195,665,Trumpler14,161.1195,-59.7221,10.03,4381,2.055,1.025,13.664,-13.33,8.91,0.55
10442903-5942469,665,Trumpler14,161.12096,-59.713,17.25,41388,4.75,0.974,14.181,21.99,21.25,0.4
10442908-5941432,665,Trumpler14,161.12117,-59.6953,56.17,5768,3.98,-999,11.918,27.64,2.02,1.54
10442910-5948207,665,Trumpler14,161.12125,-59.8058,166.79,32004,4.301,1.002,9.52,3.09,0.98,2.55
10442923-5939561,665,Trumpler14,161.12179,-59.6656,28.82,29539,3,-999,13.553,-622.97,75.01,0.75
10442924-5939343,665,Trumpler14,161.12183,-59.6595,104.96,7720,4,-999,12.52,-3.02,1.93,2.14
10442946-5933438,665,Trumpler14,161.12275,-59.5622,161.21,17296,4.182,0.999,11.975,-6.53,1,2.37
10442957-5942103,665,Trumpler14,161.12321,-59.7029,24.03,6681,4.5,1.027,14.089,465.92,228.43,0.66
10442977-5943327,665,Trumpler14,161.12404,-59.7257,34.65,4721,3.01,1.008,13.037,-17.73,1.16,0.89
10442980-5934133,665,Trumpler14,161.12417,-59.5704,43.53,5049,3.506,0.997,13.137,-16.71,0.52,0.9
10442986-5937431,665,Trumpler14,161.12442,-59.6286,129.55,6380,4.232,0.998,12.101,9.94,0.32,1.96
10442990-5933170,665,Trumpler14,161.12458,-59.5547,24.12,4514,3.426,1.049,13.015,-5.05,2.46,0.74
10442998-5938181,665,Trumpler14,161.12492,-59.6384,76.6,12444,5,1.001,13.495,5.8,3.22,1.25
10443000-5945211,665,Trumpler14,161.125,-59.7559,17.55,5528,5,-999,13.866,302.32,29.56,0.16
10443019-5945010,665,Trumpler14,161.12579,-59.7503,77.6,4896,4.93,0.959,13.508,20.85,0.28,1.01
10443026-5945482,665,Trumpler14,161.12608,-59.7634,17.51,7183,-999,1.002,14.382,260.77,33.85,0.54
10443030-5934025,665,Trumpler14,161.12625,-59.5674,85.08,6069,4.3,1.037,12.515,-3.75,1.23,1.32
10443030-5937327,665,Trumpler14,161.12625,-59.6257,42.72,8200,-999,1,12.289,24.53,3.65,1.1
10443049-5939344,665,Trumpler14,161.12704,-59.6596,72.23,4445,4.669,0.93,12.87,9.63,0.27,1.23
10443050-5937477,665,Trumpler14,161.12708,-59.6299,33.66,7554,-999,0.994,13.268,217.15,4.48,0.74
10443050-5947336,665,Trumpler14,161.12708,-59.7927,19.3,12743,5,-999,12.764,9.14,16.23,0.82
10443055-5939247,665,Trumpler14,161.12729,-59.6569,154.76,17432,4.86,1,10.475,240,0.24,2.16
10443061-5935228,665,Trumpler14,161.12754,-59.5897,22.17,4103,4.844,0.937,14.115,-19.5,0.61,0.48
10443074-5944020,665,Trumpler14,161.12808,-59.7339,22.61,4481,5,0.887,14.472,-0.84,0.82,0.6
10443084-5929481,665,Trumpler14,161.1285,-59.4967,18.52,4755,4,-999,13.421,0.05,6.91,0.7
10443101-5942052,665,Trumpler14,161.12921,-59.7014,24.08,4455,2.705,0.996,13.848,-9.5,0.71,0.55
10443110-5943049,665,Trumpler14,161.12958,-59.718,19.7,4896,3.436,1,13.937,-11.52,0.56,0.59
10443133-5930377,665,Trumpler14,161.13054,-59.5105,259.98,24156,4.893,1.002,11.145,-11.4,0.46,2.78
10443159-5945278,665,Trumpler14,161.13163,-59.7577,110.66,6279,3.346,1.004,11.656,10,0.24,1.87
10443186-5938416,665,Trumpler14,161.13275,-59.6449,29.22,4432,2.016,1.051,13.577,-4.7,2.39,0.63
10443187-5940418,665,Trumpler14,161.13279,-59.6783,60.27,5712,4.562,0.973,13.978,-34.03,0.46,1.03
10443191-5944021,665,Trumpler14,161.13296,-59.7339,9.97,-999,-999,-999,13.091,-7.51,1.8,-99
10443218-5942348,665,Trumpler14,161.13408,-59.7097,45.09,12122,4.67,0.998,12.605,-16.77,7.56,1.4
10443227-5931108,665,Trumpler14,161.13446,-59.5197,53.76,5145,2.884,1.014,12.46,-9.32,0.68,1.23
10443243-5949322,665,Trumpler14,161.13512,-59.8256,13.33,7000,4.294,0.995,12.85,-1.61,1.27,1.58
10443245-5940487,665,Trumpler14,161.13521,-59.6802,30.02,55000,4.75,0.982,13.347,-408.89,4.68,0.76
10443246-5939210,665,Trumpler14,161.13525,-59.6558,8.8,-999,-999,-999,13.77,-105.38,12.84,-99
10443254-5943517,665,Trumpler14,161.13558,-59.731,50.56,4933,3.5,0.998,13.201,-6.44,0.41,0.93
10443256-5944067,665,Trumpler14,161.13567,-59.7352,151.06,44125,4.75,0.992,10.692,280,0.41,2.07
10443257-5933033,665,Trumpler14,161.13571,-59.5509,99.63,15000,4.778,1.007,12.256,-5.76,1.57,1.83
10443267-5932255,665,Trumpler14,161.13612,-59.5404,24.99,4953,3.84,0.993,13.675,-12.81,0.67,0.56
10443297-5938059,665,Trumpler14,161.13737,-59.635,32.37,4806,4.141,0.972,14.176,14.41,0.52,0.63
10443310-5940022,665,Trumpler14,161.13792,-59.6673,28.63,4917,4.17,1.031,13.348,-8.81,2.39,0.75
10443314-5938303,665,Trumpler14,161.13808,-59.6418,119.74,6441,4.051,0.999,12.166,22.41,0.34,2.42
10443319-5933556,665,Trumpler14,161.13829,-59.5654,24.02,4728,2.471,1.017,13.593,-9.91,1.39,0.61
10443320-5936430,665,Trumpler14,161.13833,-59.6119,32.97,6374,3.46,1.016,12.757,9.36,4.8,0.82
10443321-5933490,665,Trumpler14,161.13838,-59.5636,27.56,5287,3.817,0.991,11.29,5,0.39,1.24
10443342-5933190,665,Trumpler14,161.13925,-59.5553,35.85,22716,4.811,-999,11.183,-7.17,17.72,1.34
10443350-5948380,665,Trumpler14,161.13958,-59.8106,24.09,5156,2.68,1.025,11.36,8.89,0.54,1.23
10443360-5942048,665,Trumpler14,161.14,-59.7013,48.21,5893,3.862,0.987,14.533,-11.19,0.56,0.75
10443366-5938209,665,Trumpler14,161.14025,-59.6391,131.61,13666,3.222,1.001,11.425,16.6,1.25,2.13
10443367-5940175,665,Trumpler14,161.14029,-59.6715,37.46,7247,-999,1.073,12.831,38.77,4.03,0.9
10443396-5937340,665,Trumpler14,161.1415,-59.6261,37.63,5056,3.84,1.005,13.132,-4.47,0.75,0.79
10443398-5933549,665,Trumpler14,161.14158,-59.5652,56.3,5883,3.8,-999,11.223,-15.68,5.41,1.71
10443403-5943553,665,Trumpler14,161.14179,-59.732,46.79,4987,3.5,1.003,11.683,-2.12,0.41,1.26
10443412-5934299,665,Trumpler14,161.14217,-59.575,59.31,12485,4.348,1.008,12.868,35,0.47,1.81
10443442-5942578,665,Trumpler14,161.14342,-59.7161,98.03,3930,2.506,1.066,8.611,17.74,0.25,2.31
10443460-5941358,665,Trumpler14,161.14417,-59.6933,60.39,4755,2.33,1.031,10.909,9.96,0.27,1.42
10443469-5933307,665,Trumpler14,161.14454,-59.5585,12.5,7704,3.5,0.863,13.393,-0.59,2.08,0.62
10443479-5938095,665,Trumpler14,161.14496,-59.636,292.1,5247,2.802,1.019,9.25,11.9,0.24,2.71
10443480-5935263,665,Trumpler14,161.145,-59.5906,98.33,5742,3.55,-999,10.951,-36.55,7.53,1.57
10443492-5944060,665,Trumpler14,161.1455,-59.735,23.13,4532,3.37,0.997,12.907,-1.81,1.4,0.83
10443498-5941043,665,Trumpler14,161.14575,-59.6845,150.99,5062,3.502,0.992,11.478,36.34,0.25,2.15
10443500-5937103,665,Trumpler14,161.14583,-59.6195,24.81,5111,-999,1.262,13.505,0.67,20.29,0.62
10443500-5941424,665,Trumpler14,161.14583,-59.6951,16.59,4841,2.916,1.001,13.711,-9.42,0.63,0.61
10443511-5940046,665,Trumpler14,161.14629,-59.6679,30.18,4873,3.56,1.027,11.831,12.99,0.53,1.07
10443527-5931037,665,Trumpler14,161.14696,-59.5177,30.17,5587,2.628,1.029,11.864,-7.07,0.43,1.09
10443539-5935347,665,Trumpler14,161.14746,-59.593,42.59,8500,3.426,-999,12.471,-3.18,5.03,1.02
10443543-5933424,665,Trumpler14,161.14763,-59.5618,191.91,5241,2.69,1.026,9.374,13.68,0.24,2.55
10443553-5943510,665,Trumpler14,161.14804,-59.7308,29.2,4733,3.012,1.001,12.991,-7.48,1.91,0.87
10443560-5943390,665,Trumpler14,161.14833,-59.7275,76.46,4891,2.506,1.019,11.188,-20.41,0.26,1.56
10443586-5944470,665,Trumpler14,161.14942,-59.7464,27.49,4881,3.379,0.99,13.591,-7.33,0.7,0.77
10443633-5944111,665,Trumpler14,161.15138,-59.7364,29.91,4892,4.4,0.963,13.313,-5.74,2.38,0.81
10443635-5939443,665,Trumpler14,161.15146,-59.6623,20.7,-999,-999,-999,12.943,-58.51,1.47,-99
10443666-5946218,665,Trumpler14,161.15275,-59.7727,17.61,5188,3.22,1.009,12.632,-5.27,1.24,0.81
10443711-5946418,665,Trumpler14,161.15463,-59.7783,31.53,6070,4.805,0.983,13.541,35.15,1.01,0.84
10443733-5946072,665,Trumpler14,161.15554,-59.7687,21.54,9000,3.582,0.988,14.38,174.31,13.58,0.62
10443735-5937427,665,Trumpler14,161.15562,-59.6285,11.62,-999,-999,-999,13.057,402.37,321.77,-99
10443782-5943310,665,Trumpler14,161.15758,-59.7253,18.15,4568,3.136,1.023,13.833,-4.38,2.72,0.46
10443789-5935350,665,Trumpler14,161.15787,-59.5931,62.52,3824,4.569,0.826,12.612,18.64,0.57,1.08
10443791-5948211,665,Trumpler14,161.15796,-59.8059,16.23,11083,5,-999,13.836,10.78,20.5,0.68
10443796-5945192,665,Trumpler14,161.15817,-59.7553,20.44,14102,5,0.995,14.112,-88.21,14.92,0.46
10443808-5944350,665,Trumpler14,161.15867,-59.7431,54.38,4996,3.282,1,11.993,-7.85,0.3,1.24
10443809-5941314,665,Trumpler14,161.15871,-59.6921,51.16,4804,3.17,-999,12.648,-5.21,1.55,0.97
10443817-5943114,665,Trumpler14,161.15904,-59.7198,78.23,4877,4.378,0.975,12.173,-1.43,0.82,1.19
10443817-5944139,665,Trumpler14,161.15904,-59.7372,93.1,8936,3.618,-999,12.434,95,0.26,2.11
10443822-5943340,665,Trumpler14,161.15925,-59.7261,16.04,4472,3.5,0.996,13.67,-6.81,0.66,0.61
10443864-5930076,665,Trumpler14,161.161,-59.5021,15.24,6287,3.852,1.009,12.835,1.41,2.1,0.66
10443866-5935453,665,Trumpler14,161.16108,-59.5959,11.85,4062,3.082,0.963,13.454,-10.78,1.31,0.41
10443880-5941361,665,Trumpler14,161.16167,-59.6934,98.46,6257,4.31,-999,11.029,-135,0.5,1.55
10443884-5933470,665,Trumpler14,161.16183,-59.5631,127.38,5419,4.16,-999,9.937,-514.93,2.32,2.06
10443915-5929587,665,Trumpler14,161.16313,-59.4996,59.7,6066,4.128,1.008,13.17,-4.76,0.82,1.22
10443920-5946282,665,Trumpler14,161.16333,-59.7745,52.08,12777,5,-999,13.075,90,0.78,1.34
10443973-5945351,665,Trumpler14,161.16554,-59.7597,11.36,6087,5.404,0.937,13.727,14.85,3.97,0.44
10443989-5938061,665,Trumpler14,161.16621,-59.635,50.12,5827,4.11,0.991,14.865,-17.1,0.51,0.76
10443990-5943583,665,Trumpler14,161.16625,-59.7329,53.31,4988,4.12,-999,12.462,-88.2,33.36,1.19
10444001-5933511,665,Trumpler14,161.16671,-59.5642,107.18,6912,4.036,0.994,11.609,20.28,0.52,2.53
10444019-5946585,665,Trumpler14,161.16746,-59.7829,50.17,4425,2.261,1.016,10.838,35.18,0.27,1.76
10444056-5937118,665,Trumpler14,161.169,-59.6199,26.85,5004,4.3,0.955,13.774,21.44,0.81,0.79
10444060-5937455,665,Trumpler14,161.16917,-59.6293,73.75,5671,3.525,1.005,12.723,8.58,0.29,1.24
10444078-5931597,665,Trumpler14,161.16992,-59.5333,31.97,4837,4.693,0.965,14.415,35.03,0.44,0.81
10444084-5943215,665,Trumpler14,161.17017,-59.7226,199.07,4430,2.327,1.056,7.702,-25.1,0.24,2.81
10444087-5945247,665,Trumpler14,161.17029,-59.7569,61.56,6095,4.293,0.996,12.868,-11.12,0.47,1.79
10444097-5937419,665,Trumpler14,161.17071,-59.6283,39.22,3831,4.501,0.841,13.5,20.91,0.6,0.74
10444101-5932288,665,Trumpler14,161.17088,-59.5413,-0.19,-999,-999,-999,12.695,-499.52,12,-99
10444109-5944229,665,Trumpler14,161.17121,-59.7397,13.59,4649,4.151,0.964,13.606,-5.81,0.71,0.52
10444114-5938195,665,Trumpler14,161.17142,-59.6388,71.81,5422,3.48,1.004,12.287,-8.2,0.33,1.19
10444131-5944088,665,Trumpler14,161.17212,-59.7358,38.27,4748,3.327,1.01,12.982,-7.4,1.62,0.82
10444139-5947149,665,Trumpler14,161.17246,-59.7875,52.91,13146,4.501,1.004,12.033,-5.27,6.36,1.34
10444160-5938417,665,Trumpler14,161.17333,-59.6449,16.37,4494,1.78,1.012,13.59,-1.36,4.09,0.52
